# COMSOL wave_based_room listening point golden
# table,tbl1
# expression,pate.p_t and pate.p_t/(1[m/s]*pate.Z)
# pressure_unit,Pa
# normalized_unit,1
# receiver_point_ids,122,121,53,35
# receiver_coordinate_unit,m
# receiver_coordinate,122,1.2,1.3125,1
# receiver_coordinate,121,0.20000000000000001,0.875,1
# receiver_coordinate,53,-0.80000000000000004,0.4375,1
# receiver_coordinate,35,-1.8,0,1
time,p122,p121,p53,p35,pn122,pn121,pn53,pn35
0.00024940231127170619,6.1068244163550484e-46,-7.7413716570546714e-36,-8.9184108365257738e-26,3.7742884867933425e-16,1.4836794014468048e-48,-1.8807997223164899e-38,-2.1667664811773019e-28,9.1697971010528245e-19
0.00025177757137905579,6.2075580600993719e-46,-9.262618613183285e-36,-1.9504009337806155e-27,3.8565477173378309e-16,1.5081530758258922e-48,-2.2503932490727128e-38,-4.7385834154048001e-30,9.3696494590326316e-19
0.00025415283148640539,5.6115978641817713e-46,-1.0413493469168134e-35,1.0812037756013784e-25,3.6918826089954544e-16,1.3633619689460086e-48,-2.5300032723926471e-38,2.6268313304212307e-28,8.9695884572289966e-19
0.000256528091593755,4.0584746129273137e-46,-1.0943368341943151e-35,2.3819187724117981e-25,3.2714511757607034e-16,9.8602395843715105e-49,-2.6587386642233119e-38,5.7869746657235143e-28,7.9481321082621562e-19
0.0002589033517011046,1.2785602585114651e-46,-1.0575280400967914e-35,3.8322476536769717e-25,2.607515637402528e-16,3.1063174405040459e-49,-2.5693101071350619e-38,9.3106114034911854e-28,6.3350720053511371e-19
0.0002612786118084542,-2.9797822898697812e-46,-9.0246050003460183e-36,5.3588799832078025e-25,1.7358359019708859e-16,-7.2395099365155044e-49,-2.1925668125233281e-38,1.3019630668629259e-27,4.2172883915716376e-19
0.0002636538719158038,-8.9128389771085794e-46,-6.0248600710796578e-36,6.8663446272803364e-25,7.1648133010564047e-17,-2.165412773835904e-48,-1.4637658093002087e-38,1.6682081213023171e-27,1.7407223763499526e-19
0.00026602913202315341,-1.6613718372594422e-45,-1.3604494340782266e-36,8.2396813756924903e-25,-3.6728410496157404e-17,-4.0363747260919394e-48,-3.3052707339121156e-39,2.0018662234432679e-27,-8.9233261652471835e-20
0.00026840439213050301,-2.601491881122787e-45,5.0946045967315676e-36,9.3491938660998404e-25,-1.4122925246625634e-16,-6.320437028966927e-48,1.2377562188366298e-38,2.2714270811710012e-27,-3.4312257644863062e-19
0.00027077965223785261,-3.6823666509885236e-45,1.3333796444347076e-35,1.005731062530202e-24,-2.3010568770168811e-16,-8.9464690257252773e-48,3.239503509316588e-38,2.4434671101316861e-27,-5.590517193918565e-19
0.00027315491234520222,-4.8454321184824704e-45,2.3174011104490534e-35,1.0227413771755868e-24,-2.9096057695508279e-16,-1.1772186876779569e-47,5.6302262158626181e-38,2.4847944051885005e-27,-7.0690130455559474e-19
0.00027553017245255182,-5.9964410831239391e-45,3.4214058198872451e-35,9.7343090810178373e-25,-3.1173389814263639e-16,-1.4568612932759815e-47,8.3124534010866026e-38,2.3649924880995719e-27,-7.5737098674109921e-19
0.00027790543255990142,-7.000334528365443e-45,4.5800781422998511e-35,8.4758194486869931e-25,-2.8184757939007994e-16,-1.700761547221925e-47,1.1127497916180397e-37,2.0592369894769179e-27,-6.8476088287191436e-19
0.00028028069266725102,-7.67853616244834e-45,5.7008476886885479e-35,6.384801807579316e-25,-1.9344699187736401e-16,-1.8655335671643198e-47,1.3850455997785588e-37,1.5512152107821468e-27,-4.6998783254947526e-19
0.00028265595277460063,-7.8100471709744659e-45,6.6637860540836079e-35,3.4407326230896159e-25,-4.2658147561577453e-17,-1.8974847354165372e-47,1.6189956399620041e-37,8.3594087052711764e-28,-1.0363981428954679e-19
0.00028503121288195023,-7.1378714440094137e-45,7.3240873723178243e-35,-3.2010285507123398e-26,1.6923557883692993e-16,-1.7341767356679822e-47,1.7794187007574892e-37,-7.7770372952194855e-29,4.1116515752412523e-19
0.00028740647298929983,-5.3823376795335302e-45,7.5177062944515231e-35,-4.7968303659528352e-25,4.3480389269304065e-16,-1.3076622156301095e-47,1.8264592552117404e-37,-1.1654106817183759e-27,1.0563748607702641e-18
0.00028978173309664944,-2.2627489199851955e-45,7.0705989151388484e-35,-9.8195998386724209e-25,7.397781687415085e-16,-5.4974463556491634e-48,1.717832583852976e-37,-2.3857142465190529e-27,1.7973230533078438e-18
